Data transakcji,Kategoria,Produkt,Liczba,Cena,Wartość
2015-07-24 00:15:32,Spożywcze,Mleko,5,3.0,15.0
2015-07-02 03:58:21,Elektronika,Kamera,2,1200.0,2400.0
2015-07-02 12:33:25,Spożywcze,Chleb,5,2.0,10.0
2015-07-12 19:17:00,Spożywcze,Mleko,4,3.0,12.0
2015-07-16 01:18:04,Odzież,Spodnie,2,30.0,60.0
2015-07-11 04:11:33,Spożywcze,Jogurt,5,2.5,12.5
2015-07-14 18:11:51,Spożywcze,Mleko,5,3.0,15.0
2015-07-01 04:59:41,Spożywcze,Chleb,1,2.0,2.0
2015-08-13 03:45:38,Elektronika,Telefon,1,800.0,800.0
2015-08-27 08:44:17,Elektronika,Telefon,5,800.0,4000.0
2015-08-18 01:21:50,Elektronika,Laptop,4,2500.0,10000.0
2015-08-10 06:14:19,Spożywcze,Jogurt,3,2.5,7.5
2015-08-12 06:01:46,Spożywcze,Mleko,3,3.0,9.0
2015-08-22 17:56:43,Spożywcze,Chleb,5,2.0,10.0
2015-08-12 12:57:57,Spożywcze,Mleko,3,3.0,9.0
2015-08-16 17:47:28,Odzież,Koszulka,5,15.0,75.0
2015-08-02 12:26:54,Spożywcze,Mleko,1,3.0,3.0
2015-08-09 05:01:46,Odzież,Spodnie,4,30.0,120.0
2015-09-07 20:23:57,Elektronika,Telefon,2,800.0,1600.0
2015-09-27 12:28:35,Spożywcze,Jogurt,2,2.5,5.0
2015-09-09 15:07:45,Odzież,Kurtka,1,50.0,50.0
2015-09-04 19:11:56,Spożywcze,Chleb,2,2.0,4.0
2015-09-02 00:42:21,Spożywcze,Chleb,3,2.0,6.0
2015-09-05 05:32:11,Elektronika,Telefon,1,800.0,800.0
2015-09-22 12:46:33,Odzież,Kurtka,4,50.0,200.0
2015-09-22 16:58:18,Spożywcze,Chleb,1,2.0,2.0
2015-09-14 17:26:21,Odzież,Kurtka,1,50.0,50.0
2015-09-21 07:21:31,Elektronika,Telefon,2,800.0,1600.0
2015-10-06 17:41:34,Odzież,Koszulka,2,15.0,30.0
2015-10-24 07:38:52,Odzież,Spodnie,3,30.0,90.0
2015-10-11 18:06:03,Elektronika,Telefon,2,800.0,1600.0
2015-10-09 15:38:19,Odzież,Koszulka,3,15.0,45.0
2015-10-09 16:26:39,Elektronika,Kamera,2,1200.0,2400.0
2015-10-01 21:34:41,Elektronika,Laptop,4,2500.0,10000.0
2015-10-16 15:38:19,Elektronika,Telefon,4,800.0,3200.0
2015-10-02 07:39:39,Elektronika,Telefon,5,800.0,4000.0
2015-10-09 15:37:07,Elektronika,Laptop,3,2500.0,7500.0
2015-10-15 12:55:37,Spożywcze,Mleko,1,3.0,3.0
2015-11-26 11:45:48,Odzież,Spodnie,4,30.0,120.0
2015-11-26 13:42:04,Odzież,Spodnie,3,30.0,90.0
2015-11-26 00:14:16,Elektronika,Laptop,4,2500.0,10000.0
2015-11-15 00:04:26,Spożywcze,Jogurt,5,2.5,12.5
2015-11-23 11:49:27,Spożywcze,Chleb,5,2.0,10.0
2015-11-19 13:18:26,Elektronika,Kamera,4,1200.0,4800.0
2015-11-27 01:54:41,Elektronika,Kamera,4,1200.0,4800.0
2015-11-25 14:46:15,Elektronika,Laptop,1,2500.0,2500.0
2015-11-12 19:17:33,Elektronika,Telefon,1,800.0,800.0
2015-11-11 18:27:04,Elektronika,Telefon,2,800.0,1600.0
2015-12-22 01:13:06,Spożywcze,Jogurt,2,2.5,5.0
2015-12-27 02:30:08,Elektronika,Telefon,2,800.0,1600.0
2015-12-11 20:14:54,Odzież,Spodnie,1,30.0,30.0
2015-12-04 05:13:39,Elektronika,Laptop,1,2500.0,2500.0
2015-12-02 07:41:54,Elektronika,Telefon,2,800.0,1600.0
2015-12-17 11:26:20,Odzież,Koszulka,2,15.0,30.0
2015-12-02 09:18:12,Odzież,Kurtka,1,50.0,50.0
2015-12-20 00:01:11,Elektronika,Telefon,3,800.0,2400.0
2015-12-07 10:36:50,Spożywcze,Chleb,3,2.0,6.0
2015-12-26 07:45:06,Spożywcze,Chleb,2,2.0,4.0
2016-01-24 17:19:00,Spożywcze,Chleb,3,2.0,6.0
2016-01-12 23:47:33,Odzież,Kurtka,1,50.0,50.0
2016-01-25 07:45:33,Spożywcze,Mleko,1,3.0,3.0
2016-01-10 15:32:40,Elektronika,Kamera,3,1200.0,3600.0
2016-01-01 13:05:40,Spożywcze,Jogurt,3,2.5,7.5
2016-01-14 03:18:44,Elektronika,Kamera,5,1200.0,6000.0
2016-01-23 20:13:14,Elektronika,Telefon,1,800.0,800.0
2016-01-03 22:03:55,Odzież,Koszulka,2,15.0,30.0
2016-01-01 22:16:19,Spożywcze,Jogurt,5,2.5,12.5
2016-01-25 01:22:00,Elektronika,Laptop,1,2500.0,2500.0
2016-02-27 21:49:44,Spożywcze,Jogurt,3,2.5,7.5
2016-02-11 20:38:13,Spożywcze,Jogurt,5,2.5,12.5
2016-02-25 14:58:21,Spożywcze,Chleb,4,2.0,8.0
2016-02-08 01:46:57,Odzież,Spodnie,2,30.0,60.0
2016-02-06 18:57:58,Spożywcze,Mleko,1,3.0,3.0
2016-02-09 01:28:00,Odzież,Kurtka,1,50.0,50.0
2016-02-26 12:10:35,Spożywcze,Mleko,4,3.0,12.0
2016-02-19 08:24:15,Elektronika,Laptop,2,2500.0,5000.0
2016-02-20 19:18:39,Odzież,Kurtka,4,50.0,200.0
2016-02-07 22:28:36,Odzież,Spodnie,2,30.0,60.0
2016-03-20 05:06:05,Elektronika,Kamera,1,1200.0,1200.0
2016-03-13 07:50:28,Odzież,Kurtka,1,50.0,50.0
2016-03-23 13:32:57,Elektronika,Kamera,3,1200.0,3600.0
2016-03-13 03:19:49,Odzież,Spodnie,2,30.0,60.0
2016-03-21 14:36:12,Elektronika,Telefon,1,800.0,800.0
2016-03-13 01:34:42,Odzież,Koszulka,1,15.0,15.0
2016-03-01 03:40:53,Odzież,Kurtka,1,50.0,50.0
2016-03-25 22:20:41,Elektronika,Telefon,4,800.0,3200.0
2016-03-18 22:30:00,Spożywcze,Jogurt,4,2.5,10.0
2016-03-08 18:43:49,Odzież,Koszulka,3,15.0,45.0
2016-04-17 14:33:56,Odzież,Kurtka,2,50.0,100.0
2016-04-27 10:25:44,Spożywcze,Chleb,2,2.0,4.0
2016-04-26 20:22:51,Spożywcze,Jogurt,4,2.5,10.0
2016-04-15 02:27:26,Odzież,Kurtka,3,50.0,150.0
2016-04-18 01:24:29,Odzież,Koszulka,5,15.0,75.0
2016-04-20 11:58:08,Odzież,Koszulka,4,15.0,60.0
2016-04-09 12:03:50,Spożywcze,Mleko,2,3.0,6.0
2016-04-10 22:46:53,Elektronika,Kamera,4,1200.0,4800.0
2016-04-20 04:38:00,Spożywcze,Jogurt,4,2.5,10.0
2016-04-22 03:28:33,Spożywcze,Jogurt,5,2.5,12.5
2016-05-17 05:48:14,Odzież,Koszulka,5,15.0,75.0
2016-05-24 15:57:20,Odzież,Kurtka,3,50.0,150.0
2016-05-27 11:00:39,Elektronika,Telefon,5,800.0,4000.0
2016-05-13 01:26:11,Elektronika,Laptop,2,2500.0,5000.0
2016-05-16 20:13:44,Elektronika,Laptop,2,2500.0,5000.0
2016-05-17 06:53:55,Elektronika,Telefon,1,800.0,800.0
2016-05-02 14:19:11,Spożywcze,Mleko,1,3.0,3.0
2016-05-16 17:19:12,Elektronika,Laptop,2,2500.0,5000.0
2016-05-09 00:58:47,Odzież,Kurtka,4,50.0,200.0
2016-05-07 22:30:52,Spożywcze,Jogurt,4,2.5,10.0
2016-06-05 12:09:26,Elektronika,Laptop,2,2500.0,5000.0
2016-06-13 18:36:08,Spożywcze,Jogurt,2,2.5,5.0
2016-06-15 12:45:51,Spożywcze,Mleko,3,3.0,9.0
2016-06-02 20:28:27,Odzież,Kurtka,4,50.0,200.0
2016-06-21 21:33:57,Elektronika,Kamera,3,1200.0,3600.0
2016-06-18 10:09:21,Odzież,Kurtka,1,50.0,50.0
2016-06-11 07:40:38,Elektronika,Telefon,4,800.0,3200.0
2016-06-19 20:40:54,Odzież,Koszulka,4,15.0,60.0
2016-06-26 02:53:49,Spożywcze,Chleb,1,2.0,2.0
2016-06-07 20:29:51,Spożywcze,Jogurt,1,2.5,2.5
2016-07-06 01:23:29,Odzież,Spodnie,2,30.0,60.0
2016-07-26 20:24:24,Spożywcze,Mleko,3,3.0,9.0
2016-07-19 15:29:50,Elektronika,Kamera,3,1200.0,3600.0
2016-07-16 16:14:19,Elektronika,Kamera,5,1200.0,6000.0
2016-07-10 20:09:49,Elektronika,Telefon,1,800.0,800.0
2016-07-01 07:51:22,Spożywcze,Jogurt,3,2.5,7.5
2016-07-26 06:21:44,Elektronika,Laptop,4,2500.0,10000.0
2016-07-08 12:26:14,Spożywcze,Jogurt,5,2.5,12.5
2016-07-27 17:01:57,Elektronika,Laptop,5,2500.0,12500.0
2016-07-04 04:17:50,Spożywcze,Mleko,1,3.0,3.0
2016-08-16 13:17:26,Spożywcze,Jogurt,3,2.5,7.5
2016-08-19 10:08:50,Spożywcze,Jogurt,2,2.5,5.0
2016-08-12 02:18:31,Odzież,Spodnie,5,30.0,150.0
2016-08-19 19:38:07,Elektronika,Laptop,4,2500.0,10000.0
2016-08-18 07:53:10,Spożywcze,Mleko,3,3.0,9.0
2016-08-05 15:35:36,Spożywcze,Chleb,2,2.0,4.0
2016-08-14 17:19:00,Odzież,Koszulka,2,15.0,30.0
2016-08-15 13:10:23,Odzież,Koszulka,5,15.0,75.0
2016-08-17 23:48:12,Odzież,Koszulka,2,15.0,30.0
2016-08-24 04:23:23,Odzież,Koszulka,3,15.0,45.0
2016-09-09 10:22:14,Elektronika,Laptop,1,2500.0,2500.0
2016-09-16 05:25:15,Odzież,Koszulka,2,15.0,30.0
2016-09-25 14:27:41,Spożywcze,Chleb,3,2.0,6.0
2016-09-07 11:29:43,Elektronika,Kamera,3,1200.0,3600.0
2016-09-04 13:01:46,Odzież,Koszulka,5,15.0,75.0
2016-09-19 10:21:15,Spożywcze,Jogurt,5,2.5,12.5
2016-09-13 13:45:02,Spożywcze,Chleb,1,2.0,2.0
2016-09-06 04:44:57,Elektronika,Laptop,3,2500.0,7500.0
2016-09-23 11:24:24,Spożywcze,Mleko,5,3.0,15.0
2016-09-22 10:11:01,Odzież,Koszulka,4,15.0,60.0
2016-10-06 01:55:28,Elektronika,Kamera,5,1200.0,6000.0
2016-10-06 06:20:11,Elektronika,Kamera,5,1200.0,6000.0
2016-10-03 12:33:39,Elektronika,Laptop,5,2500.0,12500.0
2016-10-11 13:36:45,Elektronika,Telefon,1,800.0,800.0
2016-10-21 18:26:13,Odzież,Kurtka,2,50.0,100.0
2016-10-26 12:58:06,Odzież,Koszulka,4,15.0,60.0
2016-10-05 01:35:45,Elektronika,Laptop,5,2500.0,12500.0
2016-10-11 20:56:15,Odzież,Koszulka,2,15.0,30.0
2016-10-09 02:49:39,Odzież,Kurtka,4,50.0,200.0
2016-10-15 09:17:41,Odzież,Spodnie,3,30.0,90.0
2016-11-25 10:55:43,Spożywcze,Jogurt,5,2.5,12.5
2016-11-15 21:54:15,Odzież,Koszulka,2,15.0,30.0
2016-11-05 16:13:33,Elektronika,Telefon,4,800.0,3200.0
2016-11-26 05:19:12,Elektronika,Laptop,4,2500.0,10000.0
2016-11-14 02:53:36,Odzież,Koszulka,2,15.0,30.0
2016-11-27 03:36:23,Elektronika,Telefon,2,800.0,1600.0
2016-11-01 11:05:31,Odzież,Koszulka,2,15.0,30.0
2016-11-13 04:34:06,Odzież,Spodnie,1,30.0,30.0
2016-11-25 19:21:59,Odzież,Koszulka,5,15.0,75.0
2016-11-07 11:08:18,Elektronika,Telefon,1,800.0,800.0
2016-12-15 22:46:25,Spożywcze,Chleb,4,2.0,8.0
2016-12-05 20:04:40,Elektronika,Kamera,3,1200.0,3600.0
2016-12-13 00:25:21,Odzież,Spodnie,5,30.0,150.0
2016-12-24 01:49:16,Odzież,Kurtka,3,50.0,150.0
2016-12-05 21:12:46,Spożywcze,Jogurt,4,2.5,10.0
2016-12-06 08:16:48,Spożywcze,Mleko,3,3.0,9.0
2016-12-18 03:07:27,Odzież,Spodnie,4,30.0,120.0
2016-12-25 10:52:36,Elektronika,Telefon,1,800.0,800.0
2016-12-21 02:50:15,Spożywcze,Chleb,2,2.0,4.0
2016-12-24 13:58:53,Spożywcze,Mleko,2,3.0,6.0
2017-01-08 13:03:05,Spożywcze,Jogurt,4,2.5,10.0
2017-01-25 20:00:33,Elektronika,Kamera,3,1200.0,3600.0
2017-01-25 04:48:32,Spożywcze,Chleb,1,2.0,2.0
2017-01-20 09:59:29,Spożywcze,Mleko,5,3.0,15.0
2017-01-15 16:17:55,Spożywcze,Chleb,1,2.0,2.0
2017-01-27 16:42:24,Odzież,Kurtka,1,50.0,50.0
2017-01-13 21:21:14,Odzież,Spodnie,4,30.0,120.0
2017-01-01 08:04:01,Odzież,Spodnie,2,30.0,60.0
2017-01-18 11:54:11,Spożywcze,Chleb,2,2.0,4.0
2017-01-08 09:34:28,Odzież,Spodnie,1,30.0,30.0
2017-02-13 16:30:33,Elektronika,Telefon,3,800.0,2400.0
2017-02-01 03:29:50,Elektronika,Telefon,4,800.0,3200.0
2017-02-25 11:31:53,Spożywcze,Jogurt,5,2.5,12.5
2017-02-06 15:48:57,Odzież,Spodnie,3,30.0,90.0
2017-02-06 04:27:47,Odzież,Kurtka,3,50.0,150.0
2017-02-07 09:56:01,Elektronika,Kamera,3,1200.0,3600.0
2017-02-07 10:59:14,Odzież,Koszulka,4,15.0,60.0
2017-02-11 10:57:10,Spożywcze,Jogurt,1,2.5,2.5
2017-02-27 14:46:12,Elektronika,Kamera,2,1200.0,2400.0
2017-02-25 20:09:00,Elektronika,Kamera,1,1200.0,1200.0
2017-03-25 12:54:08,Elektronika,Telefon,2,800.0,1600.0
2017-03-01 23:26:14,Elektronika,Kamera,5,1200.0,6000.0
2017-03-11 10:52:38,Elektronika,Kamera,1,1200.0,1200.0
2017-03-02 08:48:01,Odzież,Spodnie,5,30.0,150.0
2017-03-23 12:52:08,Elektronika,Telefon,5,800.0,4000.0
2017-03-16 03:08:39,Spożywcze,Mleko,2,3.0,6.0
2017-03-02 04:37:24,Odzież,Koszulka,3,15.0,45.0
2017-03-07 14:15:00,Elektronika,Laptop,4,2500.0,10000.0
2017-03-27 17:46:17,Odzież,Koszulka,4,15.0,60.0
2017-03-08 04:14:50,Odzież,Spodnie,5,30.0,150.0
2017-04-27 08:17:41,Spożywcze,Chleb,1,2.0,2.0
2017-04-21 16:45:08,Spożywcze,Chleb,5,2.0,10.0
2017-04-22 20:55:56,Elektronika,Kamera,4,1200.0,4800.0
2017-04-09 12:44:38,Spożywcze,Chleb,3,2.0,6.0
2017-04-12 03:14:43,Odzież,Kurtka,3,50.0,150.0
2017-04-03 10:59:13,Elektronika,Kamera,4,1200.0,4800.0
2017-04-01 17:57:53,Odzież,Spodnie,5,30.0,150.0
2017-04-09 17:54:17,Spożywcze,Jogurt,2,2.5,5.0
2017-04-27 02:02:41,Spożywcze,Mleko,1,3.0,3.0
2017-04-01 05:57:39,Elektronika,Telefon,5,800.0,4000.0
2017-05-18 14:06:38,Odzież,Spodnie,3,30.0,90.0
2017-05-20 17:29:16,Elektronika,Telefon,1,800.0,800.0
2017-05-17 22:59:43,Spożywcze,Jogurt,3,2.5,7.5
2017-05-21 05:23:32,Odzież,Kurtka,2,50.0,100.0
2017-05-07 05:25:41,Odzież,Koszulka,3,15.0,45.0
2017-05-27 17:46:51,Elektronika,Laptop,4,2500.0,10000.0
2017-05-06 04:28:45,Elektronika,Kamera,5,1200.0,6000.0
2017-05-05 01:51:02,Odzież,Kurtka,3,50.0,150.0
2017-05-20 21:26:43,Spożywcze,Chleb,5,2.0,10.0
2017-05-25 19:02:52,Spożywcze,Chleb,5,2.0,10.0
2017-06-04 19:51:25,Elektronika,Kamera,5,1200.0,6000.0
2017-06-24 15:20:59,Elektronika,Laptop,4,2500.0,10000.0
2017-06-05 05:11:47,Spożywcze,Chleb,3,2.0,6.0
2017-06-14 21:12:42,Odzież,Koszulka,1,15.0,15.0
2017-06-05 23:36:34,Odzież,Koszulka,4,15.0,60.0
2017-06-19 07:45:23,Odzież,Kurtka,1,50.0,50.0
2017-06-07 01:37:07,Odzież,Kurtka,1,50.0,50.0
2017-06-21 07:59:11,Odzież,Kurtka,1,50.0,50.0
2017-06-25 09:54:11,Spożywcze,Mleko,5,3.0,15.0
2017-06-07 18:16:28,Odzież,Kurtka,4,50.0,200.0
2017-07-17 13:59:57,Spożywcze,Jogurt,4,2.5,10.0
2017-07-14 13:58:39,Odzież,Koszulka,3,15.0,45.0
2017-07-11 00:08:08,Odzież,Koszulka,2,15.0,30.0
2017-07-21 06:42:15,Elektronika,Kamera,2,1200.0,2400.0
2017-07-23 07:42:41,Spożywcze,Chleb,3,2.0,6.0
2017-07-21 08:39:18,Elektronika,Laptop,1,2500.0,2500.0
2017-07-09 03:44:03,Spożywcze,Chleb,1,2.0,2.0
2017-07-08 19:58:54,Elektronika,Laptop,3,2500.0,7500.0
2017-07-14 15:12:50,Spożywcze,Mleko,2,3.0,6.0
2017-07-06 19:39:29,Elektronika,Kamera,1,1200.0,1200.0
2017-08-13 20:00:25,Spożywcze,Mleko,3,3.0,9.0
2017-08-04 10:58:28,Elektronika,Telefon,1,800.0,800.0
2017-08-21 18:30:45,Elektronika,Kamera,3,1200.0,3600.0
2017-08-11 12:13:16,Spożywcze,Jogurt,3,2.5,7.5
2017-08-22 09:29:29,Odzież,Spodnie,4,30.0,120.0
2017-08-14 09:54:01,Spożywcze,Chleb,3,2.0,6.0
2017-08-13 16:30:35,Odzież,Spodnie,2,30.0,60.0
2017-08-18 12:17:47,Spożywcze,Mleko,1,3.0,3.0
2017-08-20 00:33:37,Elektronika,Telefon,4,800.0,3200.0
2017-08-11 04:04:56,Odzież,Spodnie,4,30.0,120.0
2017-09-11 16:17:44,Spożywcze,Chleb,1,2.0,2.0
2017-09-08 15:11:22,Spożywcze,Mleko,4,3.0,12.0
2017-09-18 13:05:01,Odzież,Koszulka,1,15.0,15.0
2017-09-26 23:42:14,Elektronika,Telefon,3,800.0,2400.0
2017-09-20 12:38:17,Elektronika,Kamera,4,1200.0,4800.0
2017-09-02 21:07:50,Spożywcze,Chleb,2,2.0,4.0
2017-09-23 01:40:35,Spożywcze,Chleb,4,2.0,8.0
2017-09-11 12:30:07,Elektronika,Laptop,2,2500.0,5000.0
2017-09-15 05:59:39,Elektronika,Telefon,3,800.0,2400.0
2017-09-27 15:54:07,Spożywcze,Mleko,1,3.0,3.0
2017-10-08 02:52:04,Spożywcze,Jogurt,1,2.5,2.5
2017-10-22 04:40:00,Spożywcze,Jogurt,5,2.5,12.5
2017-10-15 06:47:39,Spożywcze,Jogurt,2,2.5,5.0
2017-10-16 16:52:10,Spożywcze,Mleko,1,3.0,3.0
2017-10-12 17:12:52,Elektronika,Telefon,4,800.0,3200.0
2017-10-17 21:28:48,Spożywcze,Chleb,5,2.0,10.0
2017-10-19 11:56:33,Spożywcze,Mleko,3,3.0,9.0
2017-10-07 20:07:50,Elektronika,Kamera,1,1200.0,1200.0
2017-10-16 00:00:58,Odzież,Koszulka,5,15.0,75.0
2017-10-18 22:15:14,Odzież,Spodnie,2,30.0,60.0
2017-11-22 12:45:50,Odzież,Koszulka,2,15.0,30.0
2017-11-26 16:29:02,Spożywcze,Jogurt,1,2.5,2.5
2017-11-24 14:39:54,Spożywcze,Jogurt,5,2.5,12.5
2017-11-06 01:37:17,Odzież,Kurtka,4,50.0,200.0
2017-11-12 07:47:50,Odzież,Kurtka,3,50.0,150.0
2017-11-20 17:27:00,Odzież,Kurtka,4,50.0,200.0
2017-11-03 21:22:46,Elektronika,Kamera,3,1200.0,3600.0
2017-11-26 03:52:51,Elektronika,Laptop,1,2500.0,2500.0
2017-11-21 21:02:16,Elektronika,Laptop,4,2500.0,10000.0
2017-11-23 05:19:34,Elektronika,Kamera,5,1200.0,6000.0
2017-12-06 04:25:50,Elektronika,Telefon,3,800.0,2400.0
2017-12-25 00:12:46,Spożywcze,Chleb,4,2.0,8.0
2017-12-15 09:25:17,Elektronika,Telefon,4,800.0,3200.0
2017-12-18 20:38:10,Spożywcze,Mleko,5,3.0,15.0
2017-12-27 01:02:34,Spożywcze,Mleko,1,3.0,3.0
2017-12-05 23:20:55,Odzież,Kurtka,1,50.0,50.0
2017-12-20 23:53:46,Elektronika,Telefon,4,800.0,3200.0
2017-12-21 21:39:04,Elektronika,Telefon,1,800.0,800.0
2017-12-20 00:22:24,Odzież,Spodnie,2,30.0,60.0
2017-12-18 20:29:53,Elektronika,Kamera,1,1200.0,1200.0
2018-01-14 17:13:20,Spożywcze,Jogurt,3,2.5,7.5
2018-01-07 11:19:42,Odzież,Spodnie,2,30.0,60.0
2018-01-15 19:11:37,Elektronika,Kamera,2,1200.0,2400.0
2018-01-17 02:31:06,Spożywcze,Jogurt,3,2.5,7.5
2018-01-26 21:36:22,Spożywcze,Jogurt,4,2.5,10.0
2018-01-17 20:09:43,Spożywcze,Chleb,4,2.0,8.0
2018-01-09 07:41:39,Odzież,Spodnie,4,30.0,120.0
2018-01-22 20:08:51,Spożywcze,Chleb,5,2.0,10.0
2018-01-05 09:07:31,Elektronika,Laptop,5,2500.0,12500.0
2018-01-22 16:47:46,Odzież,Spodnie,4,30.0,120.0
2018-02-24 00:12:50,Odzież,Koszulka,2,15.0,30.0
2018-02-12 10:42:56,Spożywcze,Jogurt,5,2.5,12.5
2018-02-17 14:31:29,Spożywcze,Chleb,1,2.0,2.0
2018-02-05 19:19:00,Spożywcze,Mleko,4,3.0,12.0
2018-02-10 12:16:34,Spożywcze,Chleb,5,2.0,10.0
2018-02-15 10:23:55,Elektronika,Kamera,5,1200.0,6000.0
2018-02-16 11:08:22,Odzież,Koszulka,5,15.0,75.0
2018-02-12 20:48:15,Odzież,Kurtka,1,50.0,50.0
2018-02-18 11:50:24,Elektronika,Kamera,5,1200.0,6000.0
2018-02-05 04:07:44,Spożywcze,Mleko,5,3.0,15.0
2018-03-07 01:07:12,Elektronika,Kamera,4,1200.0,4800.0
2018-03-16 13:47:07,Spożywcze,Mleko,5,3.0,15.0
2018-03-18 21:08:22,Spożywcze,Jogurt,1,2.5,2.5
2018-03-10 11:13:22,Odzież,Kurtka,3,50.0,150.0
2018-03-01 18:48:07,Odzież,Spodnie,4,30.0,120.0
2018-03-01 23:54:10,Odzież,Koszulka,2,15.0,30.0
2018-03-09 13:56:29,Elektronika,Kamera,1,1200.0,1200.0
2018-03-12 10:20:36,Odzież,Spodnie,3,30.0,90.0
2018-03-03 09:24:43,Spożywcze,Jogurt,1,2.5,2.5
2018-03-13 02:03:29,Odzież,Spodnie,5,30.0,150.0
2018-04-06 17:27:51,Elektronika,Laptop,2,2500.0,5000.0
2018-04-25 00:24:45,Elektronika,Kamera,3,1200.0,3600.0
2018-04-19 05:35:56,Elektronika,Laptop,5,2500.0,12500.0
2018-04-11 13:23:24,Spożywcze,Chleb,3,2.0,6.0
2018-04-06 07:39:27,Odzież,Kurtka,4,50.0,200.0
2018-04-05 10:21:06,Spożywcze,Jogurt,5,2.5,12.5
2018-04-10 19:23:01,Spożywcze,Jogurt,5,2.5,12.5
2018-04-10 07:09:21,Elektronika,Laptop,4,2500.0,10000.0
